estado,jogada
000110000020000000000000000000000000000000,4
002110000020000000000000000000000000000000,2
002110000021000000000000000000000000000000,4
002110000021000000200000000000000000000000,4
002110000121000000200000000000000000000000,2
002110200121000000200000000000000000000000,6
002110200121000000200000010000000000000000,4
002110200121000002200000010000000000000000,3
002110200121000002200000110000000000000000,3
002110200121000022200000110000000000000000,2
002110200121000022200001110000000000000000,2
002110200121000022200001110000020000000000,3
002110200121000022200001110000120000000000,2
002110200121020022200001110000120000000000,6
002110200121020022201001110000120000000000,6
002110200121020022201001110000120000020000,2
002110200121020022201001110100120000020000,6
002110200121020022201001110100120020020000,6
002110200121020022201001110100120020021000,3
022110200121020022201001110100120020021000,1
022111200121020022201001110100120020021000,5
022111200121020022201001110100122020021000,4
022111200121020022201001110100122020021001,6
022111200121020022201001110100122020021201,4
122111200121020022201001110100122020021201,0
122111220121020022201001110100122020021201,0
122111220121021022201001110100122020021201,0
122111220121021022201201110100122020021201,0
122111220121021022201201110110122020021201,0
122111220121021022201201110110122022021201,0
122111221121021022201201110110122022021201,1
122111221121021222201201110110122022021201,1
000010000000000000000000000000000000000000,4
000210000000000000000000000000000000000000,3
000210000010000000000000000000000000000000,3
000210200010000000000000000000000000000000,6
100210200010000000000000000000000000000000,0
102210200010000000000000000000000000000000,2
102210200011000000000000000000000000000000,4
102210200211000000000000000000000000000000,2
102210200211010000000000000000000000000000,6
102210220211010000000000000000000000000000,0
102210220211010001000000000000000000000000,3
102210220211012001000000000000000000000000,0
102210220211012011000000000000000000000000,2
102210220211012011000000200000000000000000,3
102210220211012011000001200000000000000000,2
102212220211012011000001200000000000000000,5
102212220211112011000001200000000000000000,5
010000000000000000000000000000000000000000,1
012000000000000000000000000000000000000000,2
012000000100000000000000000000000000000000,2
012002000100000000000000000000000000000000,5
012012000100000000000000000000000000000000,4
012012000102000000000000000000000000000000,4
012112000102000000000000000000000000000000,3
012112000102000000200000000000000000000000,4
012112000102000000200000010000000000000000,4
012112000122000000200000010000000000000000,3
012112000122000001200000010000000000000000,3
010000000000000000000000000000000000000000,1
010200000000000000000000000000000000000000,3
010200001000000000000000000000000000000000,1
010200001020000000000000000000000000000000,3
010201001020000000000000000000000000000000,5
010201001020000200000000000000000000000000,1
010201101020000200000000000000000000000000,6
010201101020200200000000000000000000000000,5
010201101020200201000000000000000000000000,3
010201101020200201000000200000000000000000,3
010201101020200201010000200000000000000000,5
010201101020220201010000200000000000000000,6
010201101020220201011000200000000000000000,6
010201101020220201011000200200000000000000,6
010201101020220201011000201200000000000000,5
010201101020220201011000201200000200000000,5
010201101020220201011010201200000200000000,1
012201101020220201011010201200000200000000,2
012201101120220201011010201200000200000000,2
012201101120220201011010201200020200000000,3
012201101120220201011010201200020200000010,5
212201101120220201011010201200020200000010,0
212201111120220201011010201200020200000010,0
212201111120222201011010201200020200000010,0
212201111120222201011010201201020200000010,1
212201111120222201011010201201020200002010,3
212201111120222201011010201201020210002010,6
212201111120222201011010201201020210202010,1
212201111120222201011110201201020210202010,0
212201111120222201011110201201020210202012,6
212201111120222211011110201201020210202012,2
212201111120222211011112201201020210202012,2
212201111120222211011112201201120210202012,2
212201111120222211011112201201120210222012,2
212201111120222211011112201211120210222012,0
212201111120222211011112201211120212222012,0
000100000000000000000000000000000000000000,3
002100000000000000000000000000000000000000,2
002101000000000000000000000000000000000000,5
002101200000000000000000000000000000000000,6
002101200010000000000000000000000000000000,3
002101200210000000000000000000000000000000,2
002101200210100000000000000000000000000000,5
002101200210100020000000000000000000000000,2
002101200210100020000001000000000000000000,2
002101200210100022000001000000000000000000,3
002101200210100022010001000000000000000000,5
002101200210100022010001002000000000000000,5
002101200210100022010001102000000000000000,3
002101200210120022010001102000000000000000,6
002101200210120022011001102000000000000000,6
002101200210120022011001102000000200000000,5
002101200210120022011001102100000200000000,6
002101200210120022011001102100200200000000,2
002101200210120022011001102100200210000000,6
002101200210120022011001102100200210000002,6
002101200210120022011001102100210210000002,3
002101200210120022011001102100210210002002,3
102101200210120022011001102100210210002002,0
102101220210120022011001102100210210002002,0
102101220210121022011001102100210210002002,0
102101220210121022011201102100210210002002,0
102101220210121022011201102100210210012002,2
122101220210121022011201102100210210012002,1
122101220210121022011201102100210210012012,5
122101220210121022011201102120210210012012,0
122101221210121022011201102120210210012012,1
122101221210121022011201102120210212012012,0
122111221210121022011201102120210212012012,4
122111221212121022011201102120210212012012,4
122111221212121122011201102120210212012012,1
122111221212121122011221102120210212012012,1
122111221212121122011221102121210212012012,1
122111221212121122011221102121210212212012,1
122111221212121122111221102121210212212012,4
122111221212121122111221122121210212212012,4
000100000000000000000000000000000000000000,3
000100000020000000000000000000000000000000,3
001100000020000000000000000000000000000000,2
021100000020000000000000000000000000000000,1
021101000020000000000000000000000000000000,5
021121000020000000000000000000000000000000,4
021121000120000000000000000000000000000000,2
021121000120000020000000000000000000000000,2
021121000120000020000001000000000000000000,2
021121000120200020000001000000000000000000,5
021121000121200020000001000000000000000000,4
021121000121200022000001000000000000000000,3
021121000121200022000001100000000000000000,3
021121000121200022020001100000000000000000,5
021121000121200022120001100000000000000000,4
021121000121200022120001120000000000000000,4
021121000121200022120001120000010000000000,3
021121000121200022120001122000010000000000,5
021121000121200022120001122000010100000000,5
021121000121200022120001122000012100000000,4
021121000121200022120001122000012100000100,4
021121000121200022120001122000212100000100,2
021121000121200022120001122000212100001100,3
021121000121200022120001122000212100021100,2
021121000121200022120001122000212100021110,5
221121000121200022120001122000212100021110,0
221121100121200022120001122000212100021110,6
221121100121220022120001122000212100021110,6
221121100121220022121001122000212100021110,6
221121100121220022121001122200212100021110,6
221121110121220022121001122200212100021110,0
221121110121222022121001122200212100021110,0
221121110121222022121001122200212110021110,6
221121110121222022121001122200212110021112,6
221121110121222022121101122200212110021112,0
221121112121222022121101122200212110021112,1
221121112121222122121101122200212110021112,1
